,Cluster 1
alpha,0.05
threshold,4.266292039223664
p value,2.8824609366040477e-10
Significance start time [ms],19.119551439463006
Significance end time [ms],58.70623885461226
Centroid time [ms],39.30306391238685
Centroid t-value,5.02543264172203
Maximum,5.636387053828309
Area above threshold,31.084152842975584
Area above x axis,199.97252222146247
