,Cluster 1
alpha,0.05
threshold,4.822688112775705
p value,0.0
Significance start time [ms],13.403899160590306
Significance end time [ms],64.53931658568615
Centroid time [ms],38.88314357805172
Centroid t-value,10.349752675544023
Maximum,12.741325077887318
Area above threshold,292.5418371674777
Area above x axis,539.1520069253111
