,Cluster 1
alpha,0.05
threshold,4.579835157670512
p value,1.0009190143378532e-09
Significance start time [ms],14.6248062662869
Significance end time [ms],47.4633313175789
Centroid time [ms],30.287253987054463
Centroid t-value,7.257078843011972
Maximum,8.968806190560343
Area above threshold,93.54663230325892
Area above x axis,243.94166385920985
