S1-M1,S2-M3,S3-M5,S4-M7
0.00036110088412376784,0.0003752059733536967,0.00032392031665114785,0.00023413999601261965
0.00037255362962487716,0.00042296976661190274,0.0003932417556679164,0.00024030394497159883
0.0003391144543228815,0.00042905129251872946,0.00042640155112890534,0.0002127535631851775
0.00025642499996688425,0.00038622627269006214,0.00041383917147337764,0.00014856357184862696
0.00012675463434962066,0.00029361193285345685,0.0003513715242523949,5.0454262133842825e-05
-3.8664137392856526e-05,0.00015941342800368776,0.000243057936030035,-7.106221217307356e-05
-0.00021736223699793392,3.7181776771228118e-06,0.00010421299601881858,-0.00019549282380107458
-0.0003735867338677494,-0.00013885166407895348,-3.563238010963316e-05,-0.00029026672441282304
-0.000456647218901065,-0.00021683514916245574,-0.0001300509282790181,-0.00030887902158823106
-0.0003998139139492909,-0.00016018602468768957,-0.00011356400419717589,-0.00018942898272205695
-0.00011990350065493776,0.00012072009653590455,9.974803348650858e-05,0.0001462985665530351
0.00048234494699797293,0.0007351575507132061,0.0006166533123296388,0.0007930752441337715
0.0015210444629376889,0.001811077689038696,0.0015640213922299263,0.0018616867479702747
0.0031230750133172023,0.003493023808102886,0.003086812780848574,0.003477533668714908
0.005425181125255544,0.005938932651398415,0.005344775744371297,0.005778346986596112
0.008570347474782195,0.009315893192958292,0.00850791198249888,0.008911040884401034
0.012703597396266773,0.013795006864106275,0.012750868424735988,0.013027781578370978
0.017967403339962242,0.019545563500926254,0.01824650536989313,0.01828140877324972
0.024496933580952993,0.026728809250717495,0.025158973182242406,0.024820402003287775
0.03241538263666395,0.035491631653453676,0.03363669244762814,0.032783632562243044
0.04182964045683556,0.045960518157900275,0.04380566817083561,0.04229517738786388
0.052826544566156,0.058236152458983004,0.055763571043179624,0.05345948854747664
0.06546992829681667,0.0723889938996619,0.06957498436417109,0.0663572061563535
0.0797986274282419,0.08845613624952448,0.08526814383497307,0.08104187102747984
0.09582553993427839,0.1064396640893866,0.1028333935242549,0.09753773667538966
0.11353775483967789,0.12630662242648294,0.12222345369163277,0.1158388027334207
0.13289768440915767,0.14799059662158073,0.14335545732541727,0.13590910088870092
0.15384505822462916,0.1713947767973365,0.16611457659402137,0.15768416961405762
0.1762995769741277,0.19639626654160516,0.1903589419991592,0.1810735653085752
0.2001639848196305,0.22285130227276503,0.21592546751827651,0.205964184092398
0.2253273056633006,0.2506009870132886,0.24263614218507215,0.2322241176358347
0.25166800046231164,0.2794771165683931,0.27030433557451755,0.25970674258519266
0.27905683665679604,0.3093076887063493,0.2987406903543506,0.28825474789203615
0.307359311198997,0.33992173393472663,0.32775823465048043,0.3177038360688349
0.33643752888782513,0.3711531832952504,0.35717643307710684,0.3478858886512507
0.3661515008621334,0.4028435852809058,0.38682399898222625,0.3786314563052531
0.39635988794890215,0.43484359045428644,0.4165404021799497,0.40977151215178037
0.4269202649955704,0.4670132286980552,0.4461761166838095,0.441138484791139
0.457689021645594,0.4992211014034537,0.4755917529572885,0.47256665758210004
0.4885210400417873,0.5313426920784035,0.5046563015527973,0.5038920765993664
0.5192692998949807,0.5632580584918313,0.53324477415411,0.5349521467037998
0.549784556742067,0.5948492041523076,0.5612355605259504,0.5655851107046299
0.5799152215979514,0.625997435171916,0.5885078245030795,0.5956296003345871
0.6095075419820858,0.6565809909546603,0.6149392399437094,0.6249244217107032
0.6384061485602612,0.6864731963695785,0.6404043216022913,0.6533086962926515
0.6664549920202959,0.715541323802293,0.6647735409479216,0.6806224268559056
0.6934986552099175,0.7436462819113504,0.6879133391933875,0.7067075031628801
0.7193839897302564,0.770643171060258,0.7096870661659624,0.7314091100962002
0.7439619971140944,0.7963826703566723,0.7299567913604048,0.7545774573076166
0.7670898544257686,0.8207131544847743,0.7485858594514491,0.7760697178923445
0.7886329735951202,0.8434833852816639,0.7654420027077109,0.7957520466867078
0.808466983205766,0.8645455867836611,0.7804007817294074,0.8135015473454608
0.826479530283568,0.8837586948700734,0.7933491064399447,0.8292080704646896
0.8425718167508732,0.9009915735278099,0.8041885918641288,0.8427757500169923
0.8566598089559607,0.916126007563724,0.812838526357792,0.8541242181970163
0.8686750869326627,0.9290593135311366,0.8192382701872591,0.8631894746667155
0.8785653302708426,0.9397064529555414,0.823348954887666,0.8699244204926194
0.8862944667525189,0.9480015801389952,0.825154413129797,0.8742990958783242
0.8918425349712964,0.9538990060428915,0.8246613293434876,0.8763006811975352
0.8952053297959367,0.9573736053529595,0.8218986580575826,0.8759333309520085
0.8963939072820891,0.9584207319445378,0.8169164056148631,0.8732179094578463
0.8954340224444833,0.9570557358221395,0.8097839082817495,0.8681916861649986
0.8923655600134923,0.9533131905785168,0.8005877633878193,0.8609080300001771
0.8872419975579706,0.947245943908341,0.7894295786770306,0.8514361196015687
0.8801299160376765,0.9389240951109293,0.7764236985694047,0.8398606636673847
0.8711085491647848,0.9284339842755186,0.761695046043285,0.8262816061857851
0.8602693435107411,0.9158772505351157,0.7453771881684602,0.8108137773412992
0.8477154884032851,0.9013699849659044,0.7276106956239656,0.7935864435589711
0.8335613690939037,0.8850419715114712,0.7085418258996931,0.7747427095158936
0.8179318979390486,0.8670359806936426,0.6883215203772812,0.7544387301063031
0.8009616852280915,0.8475070589770944,0.6671046707532209,0.7328426996516701
0.7827940224080451,0.8266217434071851,0.6450495831244452,0.7101335971510296
0.7635796644153167,0.8045571272542197,0.622317550286713,0.6864996782900356
0.7434754132922798,0.7814997076395112,0.5990724351541113,0.6621367160802332
0.7226425209654184,0.7576439595604378,0.575480170521778,0.6372460020221196
0.7012449437727355,0.73319060085367,0.5517080916575487,0.6120321289802504
0.6794474938461039,0.7083445373606114,0.5279240367350804,0.5867005862544273
0.6574139415979562,0.6833125043665655,0.5042951738312899,0.561455207046779
0.6353051283048357,0.6583004465978174,0.48098653997273766,0.5364955183536899
0.6132771474537757,0.6335107022609159,0.4581593055533925,0.5120140523024631
0.591479647959284,0.6091390750279881,0.4359688045196987,0.488193684951014
0.570054301988253,0.5853718905712084,0.414562395194128,0.4652050726589965
0.5491334660435101,0.5623831410197728,0.3940772366700684,0.4432042568596628
0.5288390480614956,0.5403318218156646,0.3746380798100958,0.4223305054223325
0.5092815782484279,0.5193595613513761,0.3563551790230625,0.4027044531952115
0.49055947016011786,0.499588634981434,0.33932243081149777,0.3844265964404767
0.47275845346816836,0.48112044189320996,0.32361583764439456,0.36757618653540386
0.45595116183800827,0.4640345060480034,0.30929238136436976,0.3522105582330899
