S1-M2,S2-M4,S3-M6,S4-M8
0.0,0.0,0.0,0.0
0.00706768434241158,0.00791166635586161,0.00794265995847104,0.00900552369479578
0.0068206799070012,0.00878958788868645,0.00840291570619229,0.0101020809074018
0.00578451658669165,0.00881142920559991,0.00797564620300385,0.0102396803738887
0.00395650634140358,0.00779629696566086,0.00653894303854456,0.00919490350877361
0.00145449852680769,0.00565520290630619,0.00408076108752816,0.0068386386802387
-0.00145524174011965,0.00243124052481031,0.000737377679232019,0.00317953950737452
-0.00433567731030366,-0.00166171416820113,-0.00317115654023888,-0.00159430493239076
-0.00656481139922639,-0.00620514595182115,-0.0071118981338937,-0.00707929220509202
-0.00733195314911379,-0.0105503033512538,-0.010319464388341,-0.0126296756868025
-0.00564609578564364,-0.0138040005699176,-0.0117889024359102,-0.0173439110682194
-0.000357211069256006,-0.0148283427428734,-0.0102830986175493,-0.0200667914454367
0.00980976166037818,-0.0122559665129551,-0.0043558480115829,-0.0194090924188038
0.0262095632030295,-0.00452119833054912,0.00760952090720558,-0.0137850592777957
0.0502223225166721,0.0100938174171168,0.0273474187950397,-0.00146649626207901
0.0831937161859686,0.0334003534830551,0.056645963282556,0.0193493840551385
0.126373712612643,0.0672353073242075,0.0972756444821624,0.0504626519045906
0.180858465981743,0.113389010786729,0.150915611303763,0.093589334807201
0.247539985244874,0.173533902622649,0.219083013871232,0.15028219240719
0.327067860124818,0.249159464537894,0.303070850071655,0.221859806678812
0.419826581782041,0.341518417356198,0.403899235374666,0.309349678108052
0.525930889591681,0.451588234140917,0.522283960097681,0.413449897814292
0.645240183268847,0.580050625733428,0.658624694058283,0.534512346942756
0.777391468990216,0.727289924028811,0.813013378483638,0.672548416266517
0.92184869045269,0.893409405544118,0.985261385992012,0.827256139146703
1.07796477508121,1.07826276071969,1.17494213262499,0.998065604726967
1.24505144563144,1.28149632072942,1.38144419572793,1.18419777322176
1.42245093668504,1.50259647977791,1.604028814471,1.38473053079812
1.609603312419,1.74093613484018,1.84188507429915,1.59866513245305
1.80610316370873,1.99581399320382,2.09417619491223,1.82498616604884
2.01174007946029,2.2664812976508,2.36007117670467,2.06270884469271
