,Cluster 1
alpha,0.05
threshold,4.47295910388471
p value,7.360206943618497e-05
Significance start time [ms],26.811072016641706
Significance end time [ms],53.71838690781709
Centroid time [ms],40.12523680287281
Centroid t-value,6.028357400850583
Maximum,6.905137075577827
Area above threshold,45.04099692189618
Area above x axis,165.39631602547175
