,Cluster 1
alpha,0.05
threshold,4.802795921082147
p value,0.0
Significance start time [ms],15.660830143758568
Significance end time [ms],56.957084905399
Centroid time [ms],36.00998348893255
Centroid t-value,9.408549417045663
Maximum,12.090125425125068
Area above threshold,197.9529205054845
Area above x axis,396.2904044306604
