,Cluster 1
alpha,0.05
threshold,4.43694253192046
p value,6.820733977619398e-09
Significance start time [ms],20.275994032452164
Significance end time [ms],51.81018224344279
Centroid time [ms],36.30368251058446
Centroid t-value,5.645541944508556
Maximum,6.35261351047058
Area above threshold,39.83875178931385
Area above x axis,179.75413267224292
