,Cluster 1
alpha,0.05
threshold,4.639233843939483
p value,0.0
Significance start time [ms],11.632151296504174
Significance end time [ms],63.38124957850369
Centroid time [ms],38.58376752825712
Centroid t-value,11.919926665187822
Maximum,17.360320798060823
Area above threshold,392.9239670353686
Area above x axis,633.0001351785713
