,Cluster 1
alpha,0.05
threshold,4.996986498885135
p value,7.0782268934976855e-12
Significance start time [ms],14.033969221767828
Significance end time [ms],47.16876717398081
Centroid time [ms],29.379562301567283
Centroid t-value,9.287610406464887
Maximum,12.14175201063426
Area above threshold,150.09372165730153
Area above x axis,315.6678596677966
