,Cluster 1
alpha,0.05
threshold,4.290344756129331
p value,2.9096572828901657e-07
Significance start time [ms],15.434611630752457
Significance end time [ms],46.946731928559814
Centroid time [ms],29.77965102696592
Centroid t-value,5.502577103730492
Maximum,8.257590112905824
Area above threshold,39.69022363222362
Area above x axis,174.88808370643807
