,Cluster 1
alpha,0.05
threshold,5.2523990160819185
p value,0.0
Significance start time [ms],19.1624585813501
Significance end time [ms],57.06972295475961
Centroid time [ms],38.19732557439996
Centroid t-value,7.547999661480546
Maximum,9.181762282721492
Area above threshold,91.74586016991915
Area above x axis,290.84993826717243
