,Cluster 1
alpha,0.05
threshold,4.761208627406557
p value,0.0
Significance start time [ms],18.591827435331687
Significance end time [ms],68.79159515810282
Centroid time [ms],47.65963566575242
Centroid t-value,7.804844928549504
Maximum,14.606588435313833
Area above threshold,158.18841335633078
Area above x axis,397.1999805317939
