,Cluster 1
alpha,0.05
threshold,4.75243412475505
p value,7.170053439864432e-11
Significance start time [ms],26.976104911004196
Significance end time [ms],52.116327114964704
Centroid time [ms],39.60136899932527
Centroid t-value,5.224221857506619
Maximum,5.443334161299413
Area above threshold,13.18897175006488
Area above x axis,132.6662216560914
