,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,9.130068587578473,9.948395010903205,2.204036685642442,2.3973574465625966,-4.773201228981478,1.4228500734067578e-05
Td:,24.38929990942646,21.850217951763337,1.944568498223175,1.8244201295662852,14.331649013688951,4.786494293258123e-20
Tc:,28.93576641804992,24.562085222743484,4.194115372070889,3.736859076446445,18.34577998671009,7.305353589740483e-25
Ts:,119.90787119043867,86.08493017709552,53.50448827278682,53.44614242607652,5.262292313044692,2.5144593504974658e-06
Tr:,79.64577006239607,54.08052771035092,50.35312475126807,50.79558223433732,4.042688138719629,0.0001688747017213215
P1:,53.32506632747637,46.4123031745068,5.236213539170314,4.8908820340891035,23.3658744918665,6.587171776899516e-30
P2:,1.2959772644273275,1.9841982473964646,1.1654761945306489,1.368157995826174,-4.88005787255916,9.786664470293825e-06
P3:,0.1542705313329837,0.1923747295289447,0.03527172600164962,0.03884881568251696,-12.82318370629816,5.0800492192696424e-18
RDD Max:,0.3063280452346375,0.39044025726388776,0.07382512786403915,0.0793817256173882,-14.137607091613665,8.582768338411157e-20
RDD Min:,-0.15733425333850568,-0.24527776644945629,0.07420391937137236,0.09600151276673885,10.861198550765089,3.3868763101067185e-15
RDD Peak to Peak:,0.4636622985731434,0.635718023713344,0.1281937127289789,0.14837178691987746,-15.124871137925583,4.615443333347771e-21
RDD Max Time:,38.55320118478013,35.302210070631126,5.525810713017682,5.416876310036746,4.955479955301768,7.502910800650388e-06
RDD Min Time:,94.36828434723171,81.15794030530874,36.99004989516685,35.38795909208195,1.9802470783850237,0.05278059250997199
Max to Min Time:,55.81508316245158,45.85573023467761,37.786520059464,35.34228637992118,1.4661692969033584,0.14840158117656013
