,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,9.209723260418759,10.103369325048014,2.3639395690587435,2.5810520633988383,-6.280721319097109,6.029221056522825e-08
Td:,24.96926800982968,22.1537434161809,2.0447272001542163,1.5040284187983244,14.330396593156708,4.8044969764804585e-20
Tc:,30.591315325388315,25.23533779517352,4.760514085118503,3.9532783936083833,17.918195074385658,2.1880253334552357e-24
Ts:,132.52952449301065,84.22008551571913,56.322257954142614,54.44461568018297,7.444000580022762,7.833414820731687e-10
Tr:,88.6373231889828,52.1866588729478,52.52258232640772,51.67577867462914,5.46563031367644,1.2068484852534514e-06
P1:,55.560583335218006,47.38908121135443,5.806900013427524,4.664587270745591,22.178017187730582,8.488805689239112e-29
P2:,1.2208121541787658,2.126629902291096,1.1838031146040089,1.4693381793263025,-6.460259647399056,3.09182541405419e-08
P3:,0.1496508740956744,0.192478269913124,0.03813356497814684,0.04799974726348104,-14.853851061607214,1.0175045780697459e-20
RDD Max:,0.29149846707412164,0.3938274455436614,0.07874658846009486,0.0963226344049015,-16.71261480079511,5.349337287541013e-23
RDD Min:,-0.15237347364416606,-0.2534525653696471,0.07082649998852159,0.1058850108923971,12.567179302925144,1.1539736868466045e-17
RDD Peak to Peak:,0.4438719407182878,0.6472800109133084,0.1306941799970568,0.17523927228884334,-18.667197215996257,3.2420327853672043e-25
RDD Max Time:,39.66160856687172,35.282023239917976,5.69636559180709,4.793300549485066,5.6614822988597995,5.915404827314216e-07
RDD Min Time:,104.38569150148095,74.10357712462975,45.14976797078457,9.189201099005333,5.612724434794511,7.06797673471766e-07
Max to Min Time:,64.72408293460923,38.82155388471179,45.447711486090846,9.466944860318867,4.668050255982974,2.050703055178743e-05
