,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,8.713633910205953,9.948395010903205,2.424795731004014,2.3973574465625966,-4.995688288831979,6.508529641305227e-06
Td:,25.282891952217113,21.850217951763337,2.2473346734920656,1.8244201295662852,15.720115858419222,8.385942102648703e-22
Tc:,31.38243491556932,24.562085222743484,4.667056704375887,3.736859076446445,19.301903576030256,6.715518601812024e-26
Ts:,125.87271115779004,86.08493017709552,51.82697739403286,53.44614242607652,5.807748662838,3.461613922637474e-07
Tr:,79.23810554568476,54.08052771035092,46.02497261695289,50.79558223433732,3.602345617923598,0.0006868901366526711
P1:,56.66532686778644,46.4123031745068,5.983507521963706,4.8908820340891035,21.285519845412992,6.237123313120169e-28
P2:,1.2725609763500758,1.9841982473964646,1.1074447026700212,1.368157995826174,-4.165090632314272,0.00011287263628715696
P3:,0.13939318074827003,0.1923747295289447,0.040834215300177654,0.03884881568251696,-12.977045057483195,3.1150980569904983e-18
RDD Max:,0.2681173640710469,0.39044025726388776,0.08034872590220855,0.0793817256173882,-13.91023812233552,1.7115634669769431e-19
RDD Min:,-0.14738687454685256,-0.24527776644945629,0.07826455408377206,0.09600151276673885,10.402172687026265,1.6623906484597797e-14
RDD Peak to Peak:,0.41550423861789954,0.635718023713344,0.14583143351009364,0.14837178691987746,-14.302203404922011,5.2284345844999314e-20
RDD Max Time:,41.03476874003188,35.302210070631126,6.67887158652277,5.416876310036746,9.275716121050662,9.134457350619016e-13
RDD Min Time:,106.9697881066302,81.15794030530874,47.57570287970862,35.38795909208195,3.529437525978424,0.0008598977270139933
Max to Min Time:,65.93501936659833,45.85573023467761,45.85101775557266,35.34228637992118,2.766442208088686,0.007742915393613673
