,base-avg,pot-avg,base-sample-std,pot-sample-std,t-statistic,t-test-p-value
Dm:,8.713633910205953,10.103369325048014,2.424795731004014,2.5810520633988383,-7.335439720326757,1.1752803432407296e-09
Td:,25.282891952217113,22.1537434161809,2.2473346734920656,1.5040284187983244,13.885593355733647,1.8452453686640653e-19
Tc:,31.38243491556932,25.23533779517352,4.667056704375887,3.9532783936083833,20.609484691835124,2.9540164029539883e-27
Ts:,125.87271115779004,84.22008551571913,51.82697739403286,54.44461568018297,5.7542486436908495,4.2123711824820803e-07
Tr:,79.23810554568476,52.1866588729478,46.02497261695289,51.67577867462914,3.639843738591706,0.0006113955744161384
P1:,56.66532686778644,47.38908121135443,5.983507521963706,4.664587270745591,21.560235048916603,3.3523157854008226e-28
P2:,1.2725609763500758,2.126629902291096,1.1074447026700212,1.4693381793263025,-4.909230977924019,8.832065496837793e-06
P3:,0.13939318074827003,0.192478269913124,0.040834215300177654,0.04799974726348104,-14.969797152031575,7.247467566229936e-21
RDD Max:,0.2681173640710469,0.3938274455436614,0.08034872590220855,0.0963226344049015,-16.591185407403422,7.446211231560207e-23
RDD Min:,-0.14738687454685256,-0.2534525653696471,0.07826455408377206,0.1058850108923971,13.578244335173967,4.744292592687241e-19
RDD Peak to Peak:,0.41550423861789954,0.6472800109133084,0.14583143351009364,0.17523927228884334,-19.12512648760676,1.037068293705579e-25
RDD Max Time:,41.03476874003188,35.282023239917976,6.67887158652277,4.793300549485066,8.339037663873732,2.8090221144052148e-11
RDD Min Time:,106.9697881066302,74.10357712462975,47.57570287970862,9.189201099005333,5.399137768793733,1.535410107198809e-06
Max to Min Time:,65.93501936659833,38.82155388471179,45.85101775557266,9.466944860318867,4.514323493887025,3.48103728791222e-05
