,Cluster 1
alpha,0.05
threshold,2.8123015912184446
p value,2.209366023464554e-11
Significance start time [ms],11.985754122985407
Significance end time [ms],59.50598430658356
Centroid time [ms],35.19959282185718
Centroid t-value,7.296872125005691
Maximum,8.47679093693182
Area above threshold,224.11244618514348
Area above x axis,357.7536651455433
